Time_s,Width_y256,Width_y335,Width_y414,Width_y493,Width_y572,Width_y651,Width_y731,Width_y810,Width_y889,Width_y968,Width_y1047,Width_y1126
0.0333333333333333,0.0131,0.0116,0.0101,0.0113,0.0097,0.0076,0.0126,0.012,0.0063,0.0097,0.0087,0.0118
0.0666666666666667,0.0135,0.0109,0.0096,0.0114,0.0123,0.0047,0.0127,0.0109,0.006,0.0096,0.0087,0.0127
0.1,0.0145,0.0116,0.0078,0.0111,0.0123,0.0077,0.0105,0.011,0.0042,0.0096,0.0066,0.0119
0.133333333333333,0.0146,0.0113,0.0121,0.0109,0.0132,0.0078,0.0105,0.0109,0.0043,0.0096,0.0066,0.0128
0.166666666666667,0.0152,0.0131,0.0133,0.0092,0.0133,0.008,0.0128,0.0121,0.0039,0.0097,0.0066,0.0116
0.2,0.0152,0.0131,0.0133,0.0092,0.0107,0.008,0.0128,0.0121,0.004,0.0097,0.0065,0.0118
0.233333333333333,0.0136,0.0113,0.0134,0.0086,0.0128,0.005,0.0127,0.012,0.0038,0.0096,0.0066,0.0115
0.266666666666667,0.0134,0.0117,0.0117,0.0086,0.0128,0.0084,0.0104,0.0113,0.0041,0.0096,0.0065,0.0126
0.3,0.0131,0.0114,0.0107,0.0102,0.0128,0.0082,0.0127,0.012,0.0048,0.0096,0.0067,0.0118
0.333333333333333,0.0142,0.013,0.0112,0.0105,0.013,0.0085,0.0088,0.0122,0.0048,0.0097,0.0068,0.0119
0.366666666666667,0.0158,0.0179,0.0112,0.0109,0.0133,0.0085,0.0088,0.0118,0.0048,0.0097,0.0068,0.0119
0.4,0.0158,0.0179,0.0112,0.011,0.009,0.0074,0.0087,0.0118,0.0043,0.0096,0.0068,0.0119
0.433333333333333,0.0173,0.0184,0.0125,0.0104,0.013,0.0073,0.0111,0.0113,0.0043,0.0097,0.0068,0.0119
0.466666666666667,0.0183,0.0155,0.0092,0.0102,0.0126,0.0073,0.0112,0.0118,0.0045,0.0097,0.0068,0.0118
0.5,0.0189,0.0153,0.0094,0.0114,0.0131,0.0073,0.0112,0.0121,0.0039,0.0097,0.0067,0.0116
0.533333333333333,0.0178,0.0134,0.0097,0.0115,0.0138,0.0075,0.0104,0.012,0.0041,0.0097,0.0069,0.0069
0.566666666666667,0.0149,0.0151,0.0104,0.0116,0.0078,0.0076,0.0109,0.0121,0.0032,0.0096,0.0092,0.0116
