Frequency_Hz,PSD_U_P1,PSD_U_P2,PSD_U_P3,PSD_U_P4,PSD_U_P5,PSD_U_P6,PSD_U_P7,PSD_U_P8
0,1.21291710828451e-07,2.56776899580574e-07,1.44441808390424e-06,2.79472317314588e-07,7.62249407396129e-08,1.69778732098227e-07,4.73580576927428e-08,4.63710730687657e-11
0.1171875,2.52465419465925e-07,6.4233122490732e-07,2.70170772647009e-06,8.37349464958842e-07,1.81483932698482e-07,3.78832612022646e-07,8.06067940134527e-08,8.87270601666278e-11
0.234375,2.70193692199717e-07,8.70786641935512e-07,2.01477081748889e-06,1.21450951231261e-06,2.64377153111552e-07,4.76658491726225e-07,6.62509929601917e-08,7.42417663586758e-11
0.3515625,2.82811934010738e-07,9.59397377660252e-07,1.13726505187332e-06,1.21982189658398e-06,3.9211186395309e-07,6.14243752990463e-07,9.82697681567191e-08,5.08364636046404e-11
0.46875,2.87644789259156e-07,8.94701930007209e-07,7.92129737085235e-07,1.10513546652309e-06,5.69381580669571e-07,7.63259650312789e-07,1.97176257675864e-07,2.99793859915726e-11
0.5859375,2.82267057957907e-07,9.15602885266382e-07,1.06474345819368e-06,1.11460962329252e-06,7.89563175127221e-07,9.14182800694436e-07,2.86868588745092e-07,2.13817427639e-11
0.703125,2.72291379607111e-07,1.17681554278396e-06,1.51609900979509e-06,1.10973820721912e-06,9.21206344252433e-07,1.00638959762393e-06,2.53979517519514e-07,2.18677893632084e-11
0.8203125,2.64045385057733e-07,1.45033266129427e-06,1.68626478238105e-06,9.44414457112508e-07,8.61481637437459e-07,9.84333358823894e-07,1.54992005762598e-07,2.3245943244075e-11
0.9375,2.54127412074733e-07,1.52987136507486e-06,1.44124372789629e-06,6.65169074711049e-07,7.29975290587184e-07,9.48922515590864e-07,1.24010591634874e-07,2.64968506760909e-11
1.0546875,2.40627673818788e-07,1.50969674725971e-06,1.28349433610862e-06,5.04991343514419e-07,6.78187604155301e-07,8.74780097334922e-07,1.41961558747418e-07,3.83688576093512e-11
1.171875,2.27088702701495e-07,1.3866959708448e-06,1.53164871604503e-06,5.8667982572736e-07,7.66560514613894e-07,7.46770184955338e-07,1.29473774737218e-07,6.00576284953815e-11
1.2890625,2.14936324853429e-07,1.06934832912399e-06,1.66805190476036e-06,7.21393386096172e-07,8.80279587315632e-07,6.92931128771193e-07,1.27020088475326e-07,7.8910741303415e-11
1.40625,2.0295580689051e-07,7.09168031915013e-07,1.44036186102167e-06,7.81383096665752e-07,8.54946937651043e-07,6.43325220750527e-07,1.78124003070739e-07,7.76436385767526e-11
1.5234375,1.91623714210536e-07,5.08477013017035e-07,1.31695527141128e-06,7.81143793736165e-07,8.30393097096611e-07,5.40835460838671e-07,2.2472123106773e-07,6.24999168486964e-11
1.640625,1.80606933033617e-07,4.62487641527978e-07,1.37560487475341e-06,6.62665623138878e-07,9.61619489550859e-07,5.22204575243608e-07,2.35313894658212e-07,5.96937948461649e-11
1.7578125,1.67699476355795e-07,4.81070110902584e-07,1.26378630111413e-06,4.99588971872905e-07,1.05619583843526e-06,6.23027398101067e-07,1.99182990918578e-07,7.94657609565567e-11
1.875,1.5344780587765e-07,5.23095725959979e-07,1.12493233394781e-06,4.49930967786443e-07,9.4891410511298e-07,7.35253840656405e-07,1.16363200641567e-07,1.03520855301522e-10
1.9921875,1.40019689235879e-07,5.49222127009862e-07,1.32916820429689e-06,4.48388847657461e-07,7.71178811830859e-07,8.75574082661647e-07,6.46754183861227e-08,1.08350870649371e-10
2.109375,1.28131261415845e-07,5.14244083415382e-07,1.60012988356393e-06,4.17743058962275e-07,6.46143834785099e-07,1.11010241298803e-06,7.59292926521339e-08,9.36508639047806e-11
2.2265625,1.17161386753721e-07,4.56519475907735e-07,1.33879294959759e-06,4.71933325148017e-07,5.38800109358927e-07,1.31575457047907e-06,9.3653308374186e-08,8.61165823670574e-11
2.34375,1.06159421284324e-07,4.30109522367384e-07,6.49109369663656e-07,6.28622283502387e-07,4.4812309474239e-07,1.41206195024725e-06,8.97041422390796e-08,1.0829516924177e-10
2.4609375,9.51099024597905e-08,3.93537589687315e-07,2.20317802749439e-07,7.42096339418686e-07,4.19691122875128e-07,1.41322677352187e-06,9.03548109179988e-08,1.345636212335e-10
2.578125,8.49252606151905e-08,3.26885221441937e-07,2.81876113463685e-07,8.20934533497495e-07,4.23445921864542e-07,1.28691641662048e-06,1.04856938395211e-07,1.26196437851855e-10
2.6953125,7.63713975472483e-08,2.78672512906714e-07,4.30861650934876e-07,9.17514890033761e-07,4.17752413040701e-07,1.09932016263156e-06,1.13971610385618e-07,1.07305308251027e-10
2.8125,7.01050323638758e-08,2.44348342864075e-07,4.12654108380211e-07,8.56933850112298e-07,4.24590754288908e-07,9.24066418883355e-07,1.27963632402878e-07,1.13181712449949e-10
2.9296875,6.71329801592698e-08,1.95945446145077e-07,3.98878029907162e-07,5.94418411672905e-07,4.1267563612517e-07,7.21494461317242e-07,1.29393408919358e-07,1.28159078056377e-10
3.046875,6.63311548623882e-08,1.48887652352767e-07,4.92599883494839e-07,4.09771697412054e-07,3.13946312353484e-07,5.23023772361103e-07,9.50299117768935e-08,1.36552885213835e-10
3.1640625,6.53853301279079e-08,1.15272556306979e-07,5.34541449089182e-07,4.46580358651883e-07,1.96846559224035e-07,4.14516593074397e-07,7.47121810012663e-08,1.3244102422104e-10
3.28125,6.44377350980784e-08,9.17876709920568e-08,4.66767862415694e-07,5.87201062494548e-07,1.75861086260247e-07,3.81948548159706e-07,7.20226155392799e-08,1.0554698223355e-10
3.3984375,6.34648089739486e-08,7.82825413455498e-08,4.296897073854e-07,6.50304623756603e-07,2.66751465280411e-07,3.75743228980511e-07,4.95977252487069e-08,8.43842194250442e-11
3.515625,6.22548550057193e-08,7.89837602784222e-08,4.76191146186705e-07,4.63129294608768e-07,4.16701645155228e-07,3.53862714691646e-07,3.84671105708288e-08,1.17851406700727e-10
3.6328125,6.26447328675427e-08,9.44645326859143e-08,5.07969996188466e-07,1.71943042469826e-07,5.29346835380817e-07,2.9250897032093e-07,5.93024278065228e-08,1.97920913247339e-10
3.75,6.51097341067077e-08,1.04460751955824e-07,4.77508744228869e-07,1.54739829137309e-07,5.75032223070974e-07,2.71714461915322e-07,7.23206036690138e-08,2.684798651565e-10
3.8671875,6.7515147317534e-08,9.41530482747497e-08,5.16543869552692e-07,4.05995908014401e-07,6.26818184806928e-07,3.62989411574196e-07,6.2634852548363e-08,2.86204044988533e-10
3.984375,6.79649018752186e-08,8.08913158194221e-08,7.32858430212149e-07,6.28747669427238e-07,7.02228051143846e-07,4.76546358103429e-07,5.87595920065844e-08,2.43907669018165e-10
