Frequency_Hz,PSD_V_P1,PSD_V_P2,PSD_V_P3,PSD_V_P4,PSD_V_P5,PSD_V_P6,PSD_V_P7,PSD_V_P8
0,8.16168178953743e-08,2.57560575270154e-06,1.29030093007426e-05,2.01513005152105e-05,1.50304033072962e-05,2.48594803007632e-05,2.8028891629177e-06,8.22191388014688e-11
0.1171875,1.70048200695187e-07,6.98066477261077e-06,2.31669971153214e-05,4.06406597295031e-05,2.8967008055178e-05,4.68801758774328e-05,5.85724092902765e-06,1.81855719942927e-10
0.234375,1.81452631050172e-07,9.73007369488005e-06,1.88792573831289e-05,3.61968756176766e-05,2.3080958113026e-05,3.94476375229362e-05,6.37826038863685e-06,1.96361236190673e-10
0.3515625,1.86831022458295e-07,9.48870996968823e-06,1.68044334949708e-05,2.45486053453252e-05,1.46001205005355e-05,2.86146999463985e-05,6.86703751254452e-06,1.75869038896712e-10
0.46875,1.85533767876122e-07,6.79741113983661e-06,1.6676408968596e-05,1.50947515027449e-05,1.11574523474141e-05,1.72349009443277e-05,7.05254264489173e-06,1.48394694166118e-10
0.5859375,1.79073269146081e-07,4.88246936827679e-06,1.78711338469428e-05,1.218142485241e-05,1.28838247228261e-05,1.23443434251007e-05,6.42863785307755e-06,1.34320426848598e-10
0.703125,1.7011466662468e-07,4.74169515796314e-06,1.85076565034957e-05,1.0701115223365e-05,1.63662515868696e-05,1.61487908751735e-05,4.97739645082104e-06,1.29358429884369e-10
0.8203125,1.60208491055612e-07,4.96425871756027e-06,1.53993989560453e-05,9.17067222212721e-06,2.05619992473236e-05,2.12206627679836e-05,3.66258458491774e-06,1.34105757998239e-10
0.9375,1.48916693103536e-07,4.84293641234274e-06,9.44771990474017e-06,8.92256210636795e-06,2.30728293123698e-05,2.21046674439343e-05,3.17435674424217e-06,1.49636412972378e-10
1.0546875,1.37370633601975e-07,5.00078247869707e-06,7.5632893228172e-06,8.30254873279989e-06,2.12077217583165e-05,2.10028671980719e-05,2.99958869727018e-06,1.76785829027251e-10
1.171875,1.26402358254259e-07,5.52306945497302e-06,1.38307402963083e-05,6.74391806435004e-06,1.53263082868889e-05,2.0130544282312e-05,2.48686450533795e-06,2.21684273478562e-10
1.2890625,1.15940470704641e-07,5.70053274508804e-06,2.18674353248548e-05,5.31479972504817e-06,8.24598501253238e-06,1.78848708592377e-05,1.7423284173654e-06,2.67900789822115e-10
1.40625,1.0583872319206e-07,5.66830283132259e-06,2.26845713587165e-05,4.30104573548924e-06,4.29771775497672e-06,1.25349702420953e-05,1.15992667274522e-06,2.75879609054333e-10
1.5234375,9.5982113744927e-08,5.94365046126681e-06,1.64967265520874e-05,4.212013279215e-06,4.9306553666556e-06,6.26590286731125e-06,9.15427993019914e-07,2.56454344771677e-10
1.640625,8.69335601604228e-08,5.89956562470927e-06,1.03240742466547e-05,5.27580658686727e-06,6.48701204025033e-06,3.39772742338543e-06,1.01173442411228e-06,2.67139633898601e-10
1.7578125,7.79599909470051e-08,5.21876345851176e-06,7.46846590062931e-06,6.86895212333513e-06,6.61905772603408e-06,4.65179800530129e-06,1.31793773694038e-06,3.04088109061964e-10
1.875,6.73458322485069e-08,4.56576693201481e-06,6.56410664762152e-06,8.04254769092886e-06,6.24043652481569e-06,7.41714111890091e-06,1.51401883844892e-06,3.16182865215426e-10
1.9921875,5.54546652345735e-08,3.84556525992711e-06,7.10972241486637e-06,7.84186220797689e-06,6.58830333029228e-06,1.01616047221561e-05,1.43696464794807e-06,2.89227932434414e-10
